id,Lat,Lon,VAP,RHU,PRS,PWV,dataset
204,26.27,112.6,20.16,74,992.2,40.6513,train
205,26.27,113.36,21.49,87,985.1,39.3199,test
206,26.28,110.1,19.24,100,915.6,34.8363,train
207,26.29,109.94,19.88,94,959.2,38.582,train
208,26.29,110.78,21.96,100,970.1,40.0554,train
209,26.29,112.1,22.69,93,990.4,46.6734,train
210,26.29,112.92,21.4,84,986,37.8646,test
211,26.29,113.46,21.93,91,982.2,46.5956,train
212,26.3,110.42,20.11,100,940.1,36.3158,train
213,26.3,113.67,22.15,99,968.2,40.3248,train
214,26.31,112.27,22.03,87,986.3,41.1611,train
215,26.31,112.74,23.57,99,995.1,57.4019,test
216,26.31,113.22,22.45,92,986.9,41.7902,train
217,26.32,109.46,19.22,92,964.8,38.1542,train
218,26.33,109.34,19.8,96,955.2,46.2591,train
219,26.33,113.3,22.21,91,988.7,51.29,train
220,26.35,109.77,20.78,97,966.9,38.0506,test
221,26.35,110.24,20.05,96,959.4,38.7754,train
222,26.35,112.34,22.34,84,995.4,47.2805,train
223,26.35,113.98,19.61,100,843.8,40.8376,train
224,26.36,111.1,22.28,93,979,53.8633,train
225,26.36,112.63,23.04,95,999.1,41.7619,test
226,26.36,113.67,22.53,97,972.4,39.5258,train
227,26.37,109.66,20.86,98,966.1,37.9153,train
228,26.37,110.31,20.04,93,954.8,48.8,train
229,26.37,111.54,22.62,98,984.2,42.7488,train
230,26.37,111.87,24.86,97,994.3,49.0268,test
231,26.37,112.22,22.87,92,992.6,53.9867,train
232,26.37,112.32,22.4,89,997.4,51.1009,train
233,26.37,112.68,22.48,83,996,54.3536,train
234,26.37,113.79,23.66,100,974.5,44.1847,train
235,26.38,111.49,21.4,84,984,44.4233,test
236,26.39,112.76,21.72,89,995.3,43.1954,train
237,26.39,113.62,22.66,100,970.7,40.2705,train
238,26.39,113.64,22.86,96,984.1,47.7179,train
239,26.39,113.87,18.22,99,902.7,29.1492,train
240,26.4,111.29,21.63,87,988.9,49.7,test
241,26.4,112.28,21.93,91,995.9,51.1841,train
242,26.41,109.43,20.01,94,965,43.8833,train
243,26.41,112.39,21.14,83,994.9,52.3,train
244,26.42,111.6,22.33,85,996.7,49.2598,train
245,26.42,112.51,21.69,90,994.6,51.8067,test
246,26.43,110.05,21.3,97,958,40.0743,train
247,26.43,111.63,19.34,75,993.9,39.2669,train
248,26.43,112.07,24.31,96,997.7,53.4851,train
249,26.43,112.18,22.37,90,987,51.8522,train
250,26.43,112.83,21.87,88,992.7,52.6,test
251,26.43,114.02,16.74,97,865,28.8589,train
252,26.44,110.62,20.76,100,932.1,33.7964,train
253,26.44,110.85,22.24,100,969.3,49.7,train
254,26.44,112.38,23.45,82,996.7,58.2218,train
255,26.44,113.24,25.01,100,982.9,64.1184,test
256,26.45,109.9,19.83,92,961.1,42.5123,train
257,26.45,111.22,22.76,98,966.3,56.8387,train
258,26.45,112.36,22.04,86,996,45.9617,train
259,26.45,112.43,22.21,91,987.7,46.7791,train
260,26.46,111.89,23.12,93,996.4,56.4399,test
261,26.46,113.49,21.78,86,987.6,44.6835,train
262,26.47,112.14,20.13,83,986.7,34.8724,train
263,26.47,113.09,22.67,97,984,47.9113,train
264,26.48,112.64,21.89,87,995,46.3443,train
265,26.48,113.65,24.55,100,986.9,48.1446,test
266,26.48,113.76,24.4,100,983,38.6339,train
267,26.48,113.79,18.81,79,977.2,51.1,train
268,26.48,113.91,21.82,100,952.7,41.2685,train
269,26.49,111.78,22.8,100,991.4,46.7869,train
270,26.49,112.89,22.06,85,997.7,47.4926,test
271,26.5,111.45,21.13,79,992.1,38.9662,train
272,26.5,111.62,22.45,92,986.6,52.9886,train
273,26.5,112.27,23.33,98,996.7,45.4203,train
274,26.5,112.52,23.04,95,997.3,47.4955,train
275,26.5,112.85,24.49,91,995,59.3201,test
276,26.5,114.04,18.4,100,913.3,34.3412,train
277,26.51,109.53,20.01,97,958,46.9184,train
278,26.51,110.35,21.02,100,956.6,44.0992,train
279,26.51,112.04,21.87,88,988.3,49.7619,train
280,26.51,113.12,21.85,89,985.2,53.3872,test
281,26.51,113.8,20.21,87,975.1,42.1652,train
282,26.52,109.93,19.27,94,944.1,33.0317,train
283,26.52,110.42,20.86,98,953.2,39.8773,train
284,26.52,112.36,24.01,96,994.8,55.7646,train
285,26.53,112.11,22.34,98,995,46.7937,test
286,26.54,110.95,23.28,99,971.8,55.9957,train
287,26.54,112.46,22.83,93,996.1,53.1979,train
288,26.54,112.61,22.06,85,997.7,47.4926,train
289,26.54,114.04,19,100,921.9,41.4381,train
290,26.55,111.86,22.48,91,989.7,49.7451,test
291,26.55,113.28,22.83,93,989.1,49.8999,train
292,26.55,113.62,24.55,100,986.1,48.4281,train
293,26.55,113.93,22.94,100,975.5,46.0433,train
294,26.56,109.67,21.39,95,972.2,52.1,train
295,26.56,113.32,22.37,90,991.1,46.5374,test
296,26.57,110.28,21.39,95,967.6,35.8322,train
297,26.57,113.74,22.11,97,970.7,39.6234,train
298,26.58,109.9,21.69,100,961.3,35.5487,train
299,26.58,112.59,21.79,85,1000,42.4762,train
300,26.58,112.78,22.75,84,997.5,50.1472,test
301,26.59,110.14,20.77,94,965.3,48.9,train
302,26.59,111.86,20.87,78,995.2,44.8979,train
303,26.59,112.32,23.8,94,998.6,58.059,train
304,26.6,111.22,23.57,99,965.8,45.0422,train
305,26.6,112.95,23.73,92,996.2,49.2377,test
306,26.61,110.74,21.47,99,957.1,42.4082,train
307,26.61,112.09,22.56,88,997.6,47.4496,train
308,26.61,112.5,22.26,89,994.9,48.6734,train
309,26.61,112.57,22.45,86,998.3,44.3757,train
310,26.61,113.34,22.03,87,993.2,46.6351,test
311,26.61,113.38,21.02,81,993.5,44.0858,train
312,26.61,113.9,23.81,100,975.2,46.7332,train
313,26.62,110.47,17.12,77,963.8,28.8837,train
314,26.62,112.17,22.38,94,997.8,47.3913,train
315,26.62,112.9,22.71,87,995.6,46.597,test
316,26.63,110.58,21.28,100,955.8,44.3047,train
317,26.63,113.23,23.76,95,994.8,54.1743,train
318,26.64,111.5,21.26,79,988.3,47.1271,train
319,26.64,112.69,24.35,95,995.3,58.3832,train
320,26.64,113.5,24.55,100,986.7,59.9736,test
321,26.65,109.38,19.19,96,940,37.2959,train
322,26.65,110.44,21.42,100,955,41.5273,train
323,26.66,113.41,23.61,91,991.2,49.943,train
324,26.67,109.34,18.77,91,937.6,35.7158,train
325,26.67,109.65,21.26,95,969.2,49.1298,test
326,26.67,109.94,20.39,94,962.7,37.7497,train
327,26.67,111.57,24.1,100,990.2,39.616,train
328,26.67,112.86,22.59,79,1000.7,49.8501,train
329,26.67,113.58,19.38,77,994,26.6204,train
330,26.67,113.82,20.61,85,984.3,39.9548,test
331,26.68,110.92,23.08,100,956,50.45,train
332,26.68,113.66,23.8,94,994.1,46.0352,train
333,26.69,112.4,23.58,92,997.1,52.5035,train
334,26.69,112.63,21.64,86,996.5,51.644,train
335,26.69,113.02,23.58,92,996.4,52.0831,test
336,26.69,113.26,21.87,88,997.5,52.6583,train
337,26.7,109.45,20.39,97,964.3,43.6327,train
338,26.7,111.4,20.51,80,980.8,32.1579,train
339,26.7,112.11,22.01,88,993,44.1711,train
340,26.7,112.17,22.26,89,994.2,44.0233,test
341,26.7,112.44,24.4,100,996.4,48.7123,train
342,26.71,109.73,21.7,94,975.6,38.0455,train
343,26.71,113.26,24.1,100,986,56.3,train
344,26.72,109.59,20.73,95,973.5,53.3435,train
345,26.72,110.31,19.83,92,956.2,35.1789,test
346,26.72,111.75,23.66,100,994.6,49.773,train
347,26.72,112.03,22.95,89,994.3,50.791,train
348,26.72,112.88,21.41,83,996.8,48.3481,train
349,26.72,113.44,23.37,100,965.7,55.7863,train
350,26.73,112.31,23.66,94,995,55.3347,test
351,26.74,110.64,19.73,86,969.9,46.4,train
352,26.74,111.96,22.23,90,991.1,48.6686,train
353,26.74,113,22.51,90,994.7,52.8238,train
354,26.74,113.51,25.17,100,991.1,54.4285,train
355,26.75,110.07,20.68,93,973.9,48.6979,test
356,26.75,111.54,23.99,87,979.9,48.6308,train
357,26.75,112.59,22.06,85,1001.1,50.3645,train
358,26.75,112.77,22.61,84,998.1,43.8689,train
359,26.75,112.79,22.85,87,996,51.7286,train
360,26.75,113.57,25.17,100,992.1,58.6657,test
361,26.76,111.87,22.62,91,994.1,43.7549,train
362,26.76,112.08,22.38,94,983.3,48.9,train
363,26.76,112.69,22.97,88,992.2,52.248,train
364,26.76,113.59,23.44,92,995.5,50.7138,train
365,26.76,113.81,20.5,100,938.8,40.1936,test
366,26.77,110.74,21.42,100,964.4,38.9215,train
367,26.77,111.04,21.1,92,977.5,42.0032,train
368,26.78,109.86,21.56,94,970.3,51.0259,train
369,26.78,110.42,12.8,59,954.8,18.909,train
370,26.78,111.93,21.93,91,990,49.778,test
