id,Lat,Lon,rh,sp,t2m,PWV,dataset
297,26.57,113.74,79.27,95472.15,19.28,39.6234,train
298,26.58,109.9,70.17,98569.19,20.51,35.5487,train
299,26.58,112.59,71.68,99450.43,20.86,42.4762,train
300,26.58,112.78,72.19,99292.19,20.87,50.1472,test
301,26.59,110.14,70.22,98571.87,20.51,48.9,train
302,26.59,111.86,70.22,98571.87,20.51,44.8979,train
303,26.59,112.32,70.61,99210.19,20.73,58.059,train
304,26.6,111.22,70.28,98574.55,20.51,45.0422,train
305,26.6,112.95,74.72,98927.55,20.81,49.2377,test
306,26.61,110.74,70.33,98577.23,20.51,42.4082,train
307,26.61,112.09,70.29,98734.91,20.55,47.4496,train
308,26.61,112.5,71.78,99548.83,20.88,48.6734,train
309,26.61,112.57,71.84,99500.95,20.89,44.3757,train
310,26.61,113.34,74.54,98446.47,20.77,46.6351,test
311,26.61,113.38,74.16,98293.59,20.69,44.0858,train
312,26.61,113.9,80.6,93819.95,18.7,46.7332,train
313,26.62,110.47,70.38,98579.91,20.52,28.8837,train
314,26.62,112.17,70.38,98904.31,20.61,47.3913,train
315,26.62,112.9,73.84,99044.51,20.82,46.597,test
316,26.63,110.58,70.44,98582.59,20.52,44.3047,train
317,26.63,113.23,75.34,98628.75,20.85,54.1743,train
318,26.64,111.5,70.49,98585.27,20.52,47.1271,train
319,26.64,112.69,72.21,99491.87,20.95,58.3832,train
320,26.64,113.5,72.95,97714.11,20.42,59.9736,test
321,26.65,109.38,70.54,98587.95,20.52,37.2959,train
322,26.65,110.44,70.54,98587.95,20.52,41.5273,train
323,26.66,113.41,73.9,98340.99,20.69,49.943,train
324,26.67,109.34,70.65,98593.31,20.52,35.7158,train
325,26.67,109.65,70.65,98593.31,20.52,49.1298,test
326,26.67,109.94,70.65,98593.31,20.52,37.7497,train
327,26.67,111.57,70.65,98593.31,20.52,39.616,train
328,26.67,112.86,73.58,99216.83,20.9,49.8501,train
329,26.67,113.58,75.56,97172.71,20.1,26.6204,train
330,26.67,113.82,78.22,95146.51,19.19,39.9548,test
331,26.68,110.92,70.71,98595.99,20.53,50.45,train
332,26.68,113.66,76.12,96699.95,19.84,46.0352,train
333,26.69,112.4,71.69,99464.03,20.88,52.5035,train
334,26.69,112.63,72.44,99589.79,20.99,51.644,train
335,26.69,113.02,75.49,98890.11,20.84,52.0831,test
336,26.69,113.26,75.21,98601.03,20.83,52.6583,train
337,26.7,109.45,70.81,98601.35,20.53,43.6327,train
338,26.7,111.4,70.81,98601.35,20.53,32.1579,train
339,26.7,112.11,70.86,98833.91,20.61,44.1711,train
340,26.7,112.17,70.94,98978.87,20.66,44.0233,test
341,26.7,112.44,71.95,99553.67,20.92,48.7123,train
342,26.71,109.73,70.87,98604.03,20.53,38.0455,train
343,26.71,113.26,75.2,98605.99,20.83,56.3,train
344,26.72,109.59,70.92,98606.71,20.53,53.3435,train
345,26.72,110.31,70.92,98606.71,20.53,35.1789,test
346,26.72,111.75,70.92,98606.71,20.53,49.773,train
347,26.72,112.03,70.91,98659.27,20.54,50.791,train
348,26.72,112.88,74.13,99244.19,20.94,48.3481,train
349,26.72,113.44,73.6,98305.35,20.65,55.7863,train
350,26.73,112.31,71.53,99320.59,20.82,55.3347,test
351,26.74,110.64,71.03,98612.07,20.53,46.4,train
352,26.74,111.96,71.03,98612.07,20.53,48.6686,train
353,26.74,113,75.47,98946.27,20.85,52.8238,train
354,26.74,113.51,73.37,98081.87,20.52,54.4285,train
355,26.75,110.07,71.08,98614.75,20.54,48.6979,test
356,26.75,111.54,71.08,98614.75,20.54,48.6308,train
357,26.75,112.59,72.78,99699.87,21.05,50.3645,train
358,26.75,112.77,73.31,99606.11,21.09,43.8689,train
359,26.75,112.79,73.5,99549.47,21.07,51.7286,train
360,26.75,113.57,73.73,97743.03,20.34,58.6657,test
361,26.76,111.87,71.2,98599.47,20.53,43.7549,train
362,26.76,112.08,71.29,98792.75,20.61,48.9,train
363,26.76,112.69,73.12,99658.35,21.09,52.248,train
364,26.76,113.59,74.14,97599.95,20.26,50.7138,train
365,26.76,113.81,76.04,96173.91,19.59,40.1936,test
366,26.77,110.74,71.31,98584.19,20.53,38.9215,train
367,26.77,111.04,71.31,98584.19,20.53,42.0032,train
368,26.78,109.86,71.43,98568.91,20.52,51.0259,train
369,26.78,110.42,71.43,98568.91,20.52,18.909,train
370,26.78,111.93,71.43,98568.91,20.52,49.778,test
371,26.78,113.75,75.75,96547.11,19.71,46.3628,train
372,26.79,110.18,71.55,98553.63,20.52,33.9103,train
373,26.79,112.56,73.21,99633.55,21.04,50.0009,train
374,26.79,112.87,74.89,99289.47,21,50.4052,train
375,26.79,113.13,75.67,98761.71,20.81,53.2743,test
376,26.79,113.21,75.61,98658.67,20.81,55.18,train
377,26.79,113.54,74.31,97907.27,20.41,40.7357,train
378,26.8,111.72,71.66,98538.35,20.52,50.2231,train
379,26.8,113.28,75.81,98541.95,20.76,50.291,train
380,26.81,110.34,71.78,98523.07,20.51,40.2222,test
381,26.82,111.46,71.9,98507.79,20.51,31.6288,train
382,26.82,111.76,71.9,98507.79,20.51,47.2075,train
383,26.82,112.02,71.92,98556.11,20.53,49.2064,train
384,26.82,113.43,75.19,98265.51,20.59,57.9,train
385,26.82,113.53,74.87,97946.75,20.41,40.3694,test
386,26.83,110.08,72.01,98492.51,20.5,40.139,train
387,26.83,110.52,72.01,98492.51,20.5,35.0663,train
388,26.83,112.64,73.87,99541.71,21.07,35.634,train
389,26.84,111.84,72.13,98477.23,20.5,45.8141,train
390,26.84,112.37,73.06,99294.83,20.88,48.983,test
391,26.84,113.82,76.86,96137.71,19.59,41.2685,train
392,26.85,111.68,72.24,98461.95,20.49,31.3737,train
393,26.85,112.46,73.62,99457.23,20.97,40.339,train
394,26.85,112.51,73.83,99535.23,21.01,43.1472,train
395,26.85,113.56,75.81,97718.39,20.28,44.6582,test
396,26.85,113.74,76.43,96623.63,19.75,45.3033,train
397,26.86,112.17,72.62,98857.63,20.66,45.684,train
398,26.88,109.72,72.59,98416.11,20.48,51.3,train
399,26.88,112.71,74.98,99523.51,21.13,54.8352,train
400,26.88,112.77,75.4,99497.43,21.15,48.9729,test
401,26.89,110.94,72.71,98400.83,20.48,33.8323,train
402,26.89,112.6,74.51,99441.07,21.05,38.7712,train
403,26.89,113.02,76.47,98952.67,20.94,45.9376,train
404,26.9,110.24,72.83,98385.55,20.47,31.4923,train
405,26.9,111.65,72.83,98385.55,20.47,44.8105,test
406,26.9,112.94,76.52,99101.87,21.02,52.7613,train
407,26.9,113.18,76.5,98626.91,20.73,38.8151,train
408,26.9,113.87,77.63,95945.19,19.55,23.2359,train
409,26.91,110.41,72.94,98370.27,20.47,35.7473,train
410,26.91,113.66,77.21,97079.79,19.95,48.3454,test
411,26.92,111.89,73.06,98354.99,20.47,51.0675,train
412,26.92,111.96,73.06,98354.99,20.47,50.8259,train
413,26.92,112.22,73.6,98887.63,20.7,47.3072,train
414,26.93,110.33,73.18,98339.71,20.46,21.3805,train
