Lon,Lat,True_PWV,Predicted_PWV,Error
112.53,26.03,54.1711,45.642246794752474,8.528853205247529
112.74,26.04,36.531,46.25077672303853,-9.719776723038528
112.92,26.04,41.1602,45.25402740369515,-4.093827403695144
113.39,26.04,44.0303,47.97802902479631,-3.9477290247963097
112.8,26.05,49.172,43.922659047296115,5.249340952703882
110.15,26.06,33.6959,39.335506780791036,-5.639606780791034
112.63,26.06,47.9376,45.62257965936941,2.3150203406305963
113.28,26.06,57.0417,50.48051808237853,6.561181917621468
109.55,26.08,36.8992,43.179304803883845,-6.2801048038838445
109.81,26.08,42.7479,43.605570161550055,-0.8576701615500539
113.26,26.08,53.7077,52.17819038781551,1.5295096121844907
113.94,26.08,36.1514,40.94322087140583,-4.791820871405825
112.47,26.09,43.2412,47.27449439677765,-4.033294396777649
110.28,26.1,35.1583,40.078778838609196,-4.920478838609199
112.86,26.1,40.4886,46.02722706954566,-5.538627069545662
113.54,26.1,49.2259,43.976916590947546,5.248983409052457
111.81,26.11,35.6562,45.88430557946678,-10.228105579466785
111.91,26.12,34.1585,45.07167148720817,-10.913171487208174
113.11,26.12,53.5,46.793181015518144,6.706818984481856
113.72,26.12,24.453,42.53335010763474,-18.08035010763474
112.81,26.13,45.2797,45.02183467392554,0.2578653260744588
111.71,26.14,57.992,45.234460139809904,12.757539860190093
112.38,26.14,38.7202,45.92124709422424,-7.2010470942242435
112.51,26.15,56.4501,45.62329474458576,10.826805255414236
113.03,26.15,43.2621,47.19366483629536,-3.9315648362953652
114.13,26.15,35.4352,38.88485345321655,-3.4496534532165484
109.78,26.16,49.1,41.68556137332956,7.414438626670439
112.68,26.16,42.2829,46.18435261019405,-3.901452610194049
113.86,26.16,39.7079,37.967342038087786,1.7405579619122165
