id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset,PWV,formatted_time
93,P8092,2025/06/03 00:00,25.67,111.81,215.7,永州市,幕投,宁远县,21.53,91,982.9,20.2,49.9654,train,49.9654,2025-06-03 00:00:00
94,P8370,2025/06/03 00:00,25.67,112.99,215.0,郴州市,石盖塘,北湖区,23.37,100,982.3,20.0,48.5949,train,48.5949,2025-06-03 00:00:00
95,P8594,2025/06/03 00:00,25.68,112.49,199.6,郴州市,观音山水库,嘉禾县,21.83,94,985.1,19.9,35.869,test,35.869,2025-06-03 00:00:00
96,P8889,2025/06/03 00:00,25.68,112.7,289.0,郴州市,黄沙坪,桂阳县,21.07,93,974.2,19.5,43.5878,train,43.5878,2025-06-03 00:00:00
97,P8433,2025/06/03 00:00,25.68,113.15,816.0,郴州市,五盖山,苏仙区,18.4,100,917.3,16.2,42.3801,train,42.3801,2025-06-03 00:00:00
98,P8494,2025/06/03 00:00,25.68,113.49,294.0,郴州市,黄草,资兴市,22.62,98,973.7,19.8,35.2557,train,35.2557,2025-06-03 00:00:00
99,P8353,2025/06/03 00:00,25.69,112.45,216.5,郴州市,乐塘,嘉禾县,23.42,99,982.5,20.2,50.5439,train,50.5439,2025-06-03 00:00:00
100,P7734,2025/06/03 00:00,25.7,111.64,315.0,永州市,塘于洞,双牌县,21.3,94,973.6,19.5,42.8852,test,42.8852,2025-06-03 00:00:00
101,P8350,2025/06/03 00:00,25.71,112.5,176.0,郴州市,茶坞,嘉禾县,22.3,96,988.3,19.9,46.5846,train,46.5846,2025-06-03 00:00:00
102,P8377,2025/06/03 00:00,25.71,112.88,314.0,郴州市,四清水库,北湖区,20.64,90,973.4,19.7,45.9376,train,45.9376,2025-06-03 00:00:00
103,P8682,2025/06/03 00:00,25.71,113.72,314.8,郴州市,文泉,汝城县,21.63,92,971.9,20.1,33.4336,train,33.4336,2025-06-03 00:00:00
104,P7781,2025/06/03 00:00,25.73,112.09,319.0,永州市,保安,宁远县,20.12,84,970.3,20.4,26.5264,train,26.5264,2025-06-03 00:00:00
105,P8483,2025/06/03 00:00,25.73,113.4,296.0,郴州市,高湾,资兴市,21.16,90,974.7,20.1,47.5403,test,47.5403,2025-06-03 00:00:00
106,P8769,2025/06/03 00:00,25.73,113.84,476.0,郴州市,红星,汝城县,20.55,93,953.9,19.1,28.0963,train,28.0963,2025-06-03 00:00:00
107,P8595,2025/06/03 00:00,25.74,112.4,201.0,郴州市,石市,嘉禾县,21.0,85,985.2,20.9,52.4717,train,52.4717,2025-06-03 00:00:00
108,P8396,2025/06/03 00:00,25.74,112.85,263.4,郴州市,北湖机场,北湖区,21.83,94,978.0,19.9,37.4044,train,37.4044,2025-06-03 00:00:00
109,57972,2025/06/03 00:00,25.74,112.98,368.6,郴州市,郴州,北湖区,20.91,97,966.4,18.7,46.1373,train,46.1373,2025-06-03 00:00:00
110,P8760,2025/06/03 00:00,25.74,113.66,422.2,郴州市,淇岭,汝城县,21.27,91,958.4,20.0,32.9838,test,32.9838,2025-06-03 00:00:00
111,P8233,2025/06/03 00:00,25.75,112.44,222.0,郴州市,芙蓉,嘉禾县,21.93,91,980.6,20.5,46.8023,train,46.8023,2025-06-03 00:00:00
112,57973,2025/06/03 00:00,25.75,112.72,329.8,郴州市,桂阳,桂阳县,19.75,84,971.0,20.1,50.9,train,50.9,2025-06-03 00:00:00
113,P8385,2025/06/03 00:00,25.75,113.04,180.7,郴州市,物流园,北湖区,21.34,88,986.4,20.6,47.1287,train,47.1287,2025-06-03 00:00:00
114,P8387,2025/06/03 00:00,25.75,113.06,255.0,郴州市,海泉,北湖区,23.23,100,981.4,19.9,54.8745,train,54.8745,2025-06-03 00:00:00
115,P7855,2025/06/03 00:00,25.76,112.35,204.1,永州市,新隆,新田县,23.72,99,983.1,20.4,47.4698,test,47.4698,2025-06-03 00:00:00
116,P8323,2025/06/03 00:00,25.76,112.65,265.0,郴州市,平岗,桂阳县,20.87,91,977.6,19.7,39.4601,train,39.4601,2025-06-03 00:00:00
117,P8322,2025/06/03 00:00,25.77,112.8,217.6,郴州市,全义,桂阳县,21.66,91,984.4,20.3,37.0,train,37.0,2025-06-03 00:00:00
118,P8604,2025/06/03 00:00,25.77,113.31,395.0,郴州市,青草,资兴市,22.06,95,965.2,19.9,57.5801,train,57.5801,2025-06-03 00:00:00
119,P7881,2025/06/03 00:00,25.78,111.44,335.0,永州市,上坝水库,道县,19.16,82,967.9,20.0,33.1898,train,33.1898,2025-06-03 00:00:00
120,P8314,2025/06/03 00:00,25.78,112.5,145.0,郴州市,飞仙,桂阳县,23.62,98,991.6,20.5,47.522,test,47.522,2025-06-03 00:00:00
121,P8397,2025/06/03 00:00,25.78,112.92,284.0,郴州市,茶场,北湖区,23.08,100,975.9,19.8,52.1365,train,52.1365,2025-06-03 00:00:00
122,P8437,2025/06/03 00:00,25.78,113.06,192.0,郴州市,王仙岭,苏仙区,21.63,92,985.9,20.1,50.1569,train,50.1569,2025-06-03 00:00:00
123,P8259,2025/06/03 00:00,25.79,113.12,173.0,郴州市,观山洞,苏仙区,22.11,97,987.5,19.6,44.7337,train,44.7337,2025-06-03 00:00:00
124,P7850,2025/06/03 00:00,25.81,112.12,497.1,永州市,龙家大院,新田县,21.12,95,951.8,19.2,48.4387,train,48.4387,2025-06-03 00:00:00
125,P7837,2025/06/03 00:00,25.81,112.28,155.2,永州市,祖亭下,新田县,21.96,90,988.5,20.7,47.062,test,47.062,2025-06-03 00:00:00
