id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,pwv,dataset,formatted_time,id,predict,rh,sp,t2m,target
81,P8762,2025/06/03 00:00,25.61,113.95,280.0,郴州市,集龙,汝城县,22.76,98,974.8,19.9,34.3865,train,2025-06-03 00:00:00,516.0,40.48774,93.96,92913.15,20.99,516.0
82,P7888,2025/06/03 00:00,25.62,111.61,167.0,永州市,梅花,道县,21.32,89,986.2,20.4,41.9314,train,2025-06-03 00:00:00,497.0,45.041466,79.82,96322.35,19.46,497.0
83,P8591,2025/06/03 00:00,25.62,112.28,284.0,郴州市,盘江水库,嘉禾县,21.73,93,975.7,20.0,47.8523,train,2025-06-03 00:00:00,500.0,45.746655,76.64,96560.75,19.47,500.0
84,P8374,2025/06/03 00:00,25.62,112.93,490.6,郴州市,江口,北湖区,19.84,95,953,18.2,46.9614,train,2025-06-03 00:00:00,506.0,45.049675,80.13,95579.15,19.15,506.0
85,P8768,2025/06/03 00:00,25.62,113.75,627.0,郴州市,永丰,汝城县,19.8,96,937.8,18.0,37.62,test,2025-06-03 00:00:00,515.0,41.242157,90.32,92713.95,20.31,515.0
86,P8088,2025/06/03 00:00,25.64,111.37,281.0,永州市,仙子脚,道县,22.01,99,972,19.2,39.7387,train,2025-06-03 00:00:00,497.0,45.041466,79.82,96322.35,19.46,497.0
87,P8352,2025/06/03 00:00,25.64,112.34,208.0,郴州市,石燕,嘉禾县,22.28,93,984.8,20.4,41.4326,train,2025-06-03 00:00:00,500.0,45.746655,76.64,96560.75,19.47,500.0
88,P7783,2025/06/03 00:00,25.65,111.92,209.0,永州市,恩里,宁远县,21.27,91,982.4,20.0,42.1268,train,2025-06-03 00:00:00,497.0,45.041466,79.82,96322.35,19.46,497.0
89,P8405,2025/06/03 00:00,25.65,112.65,331.9,郴州市,方元,桂阳县,22.8,100,970.4,19.6,54.3259,train,2025-06-03 00:00:00,504.0,45.15823,80.12,95933.55,19.27,504.0
90,P8409,2025/06/03 00:00,25.65,112.73,263.7,郴州市,地界,桂阳县,22.11,97,978.2,19.6,42.4651,test,2025-06-03 00:00:00,504.0,45.15823,80.12,95933.55,19.27,504.0
91,P7785,2025/06/03 00:00,25.66,112.13,396.6,永州市,太平,宁远县,22.24,100,962.7,19.2,59.924,train,2025-06-03 00:00:00,529.0,47.359615,78.55,96599.55,19.63,529.0
92,P8384,2025/06/03 00:00,25.66,112.84,312.0,郴州市,月峰,北湖区,20.46,92,971.5,19.2,48.1639,train,2025-06-03 00:00:00,536.0,45.591408,80.61,96179.55,19.39,536.0
93,P8092,2025/06/03 00:00,25.67,111.81,215.7,永州市,幕投,宁远县,21.53,91,982.9,20.2,49.9654,train,2025-06-03 00:00:00,528.0,45.249588,80.28,96453.95,19.6,528.0
94,P8370,2025/06/03 00:00,25.67,112.99,215.0,郴州市,石盖塘,北湖区,23.37,100,982.3,20.0,48.5949,train,2025-06-03 00:00:00,538.0,46.166584,78.87,95652.35,19.13,538.0
95,P8594,2025/06/03 00:00,25.68,112.49,199.6,郴州市,观音山水库,嘉禾县,21.83,94,985.1,19.9,35.869,test,2025-06-03 00:00:00,533.0,45.601147,78.84,96936.75,19.73,533.0
96,P8889,2025/06/03 00:00,25.68,112.7,289.0,郴州市,黄沙坪,桂阳县,21.07,93,974.2,19.5,43.5878,train,2025-06-03 00:00:00,535.0,45.069675,80.54,96283.95,19.42,535.0
97,P8433,2025/06/03 00:00,25.68,113.15,816.0,郴州市,五盖山,苏仙区,18.4,100,917.3,16.2,42.3801,train,2025-06-03 00:00:00,540.0,43.93759,79.63,94744.35,18.8,540.0
