time_utc,time_bj,latitude,longitude,t2m_K,sp_Pa,t2m_C
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,114.75,295.18335,98472.69,22.033356
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,115.0,296.26733,99172.69,23.11734
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,112.0,292.0603,98163.69,18.910309
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,112.25,292.10913,98800.69,18.959137
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,112.5,291.97046,98918.69,18.820465
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,112.75,292.27515,99258.69,19.125153
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,113.0,292.4431,99531.69,19.293121
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,113.25,292.4646,99281.69,19.314606
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,113.5,292.1931,98228.69,19.043121
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,113.75,291.9353,97108.69,18.785309
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,114.0,291.8767,95766.69,18.726715
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,114.25,292.80835,96095.69,19.658356
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,114.5,294.25757,97100.69,21.107574
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,114.75,295.45874,98490.69,22.308746
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,115.0,296.45288,99330.69,23.302887
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,112.0,291.89233,97875.69,18.74234
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,112.25,291.91968,98485.69,18.769684
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,112.5,292.11108,98805.69,18.96109
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,112.75,292.52515,99077.69,19.375153
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,113.0,292.65405,99310.69,19.504059
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,113.25,292.40796,98732.69,19.257965
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,113.5,292.12085,97650.69,18.970856
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,113.75,292.07788,96120.69,18.927887
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,114.0,292.6892,95570.69,19.539215
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,114.25,293.84155,96592.69,20.691559
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,114.5,295.07007,97669.69,21.920074
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,114.75,296.26147,99034.69,23.11148
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,115.0,296.65796,99142.69,23.507965
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,112.0,292.16772,98157.69,19.01773
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,112.25,292.3435,98768.69,19.193512
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,112.5,292.6599,99190.69,19.509918
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,112.75,293.04077,99369.69,19.890778
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,113.0,292.72437,98931.69,19.574371
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,113.25,292.47827,98353.69,19.328278
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,113.5,292.62866,97846.69,19.478668
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,113.75,292.66772,96454.69,19.51773
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,114.0,293.5564,96082.69,20.406403
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,114.25,294.99,97029.69,21.839996
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,114.5,296.08765,97999.69,22.937653
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,114.75,296.92163,99002.69,23.771637
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,115.0,297.3181,99111.69,24.168121
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,112.0,292.66772,98532.69,19.51773
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,112.25,292.9099,99144.69,19.759918
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,112.5,293.19116,99645.69,20.041168
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,112.75,293.34546,99573.69,20.195465
