id,Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
331,P7182,2025-06-03 20:00:00,26.69,112.63,106.0,衡阳市,云集,衡南县,22.43,96,996.2,20.0,56.8436,train
332,P7228,2025-06-03 20:00:00,26.69,113.02,104.6,衡阳市,小河田,耒阳市,20.56,96,996.3,18.6,57.6421,train
333,P8332,2025-06-03 20:00:00,26.69,113.26,95.0,郴州市,农科所,安仁县,22.48,95,997.5,20.2,51.3119,train
334,P3899,2025-06-03 20:00:00,26.7,109.45,394.0,怀化市,大堡子,靖州苗族侗族自治县,20.01,97,963.9,18.0,46.9184,train
335,P7503,2025-06-03 20:00:00,26.7,111.4,241.7,永州市,新圩江,东安县,20.84,92,980.7,19.5,35.4359,test
336,P7109,2025-06-03 20:00:00,26.7,112.11,124.3,衡阳市,过水坪,祁东县,23.09,97,992.6,20.3,44.3076,train
337,P7108,2025-06-03 20:00:00,26.7,112.17,106.1,衡阳市,金桥,祁东县,23.09,97,993.8,20.3,50.3581,train
338,P7172,2025-06-03 20:00:00,26.7,112.44,94.0,衡阳市,硫市,衡南县,23.08,100,996.0,19.8,51.0218,train
339,P4092,2025-06-03 20:00:00,26.71,109.73,294.7,怀化市,靖州县甘棠,靖州苗族侗族自治县,21.26,95,975.0,19.3,48.3254,train
340,57881,2025-06-03 20:00:00,26.71,113.28,192.7,郴州市,安仁,安仁县,22.66,100,986.0,19.5,49.2051,test
341,P3897,2025-06-03 20:00:00,26.72,109.59,306.0,怀化市,会同县地灵,会同县,20.39,94,973.0,18.8,47.8535,train
342,P6488,2025-06-03 20:00:00,26.72,110.31,430.0,邵阳市,武阳,绥宁县,19.76,97,956.2,17.8,33.4775,train
343,P8078,2025-06-03 20:00:00,26.72,111.75,121.2,永州市,十里坪农场,祁阳市,23.96,100,994.2,20.4,52.6441,train
344,P7115,2025-06-03 20:00:00,26.72,112.03,118.0,衡阳市,双桥,祁东县,22.76,98,993.9,19.9,45.2941,train
345,P7157,2025-06-03 20:00:00,26.72,112.88,89.9,衡阳市,坪田,衡南县,23.86,96,996.7,21.0,50.5512,test
346,P5887,2025-06-03 20:00:00,26.72,113.44,367.7,株洲市,东岭,茶陵县,19.86,100,965.7,17.4,49.8476,train
347,P7160,2025-06-03 20:00:00,26.73,112.31,118.0,衡阳市,柞市,衡南县,23.28,99,994.6,20.1,55.9555,train
348,57853,2025-06-03 20:00:00,26.74,110.64,341.0,邵阳市,武冈,武冈市,19.16,82,970.2,20.0,37.0973,train
349,P7113,2025-06-03 20:00:00,26.74,111.96,134.0,衡阳市,灵官,祁东县,22.34,98,990.7,19.6,48.893,train
350,P7169,2025-06-03 20:00:00,26.74,113.0,109.0,衡阳市,宝盖,衡南县,21.98,97,994.7,19.5,48.4434,test
351,P5861,2025-06-03 20:00:00,26.74,113.51,140.5,株洲市,桥边,茶陵县,23.37,100,990.9,20.0,54.3894,train
352,P6475,2025-06-03 20:00:00,26.75,110.07,313.0,邵阳市,河口,绥宁县,21.02,100,973.4,18.3,45.6212,train
353,P7557,2025-06-03 20:00:00,26.75,111.54,248.0,永州市,岭口水库,冷水滩区,22.24,100,979.7,19.2,37.2589,train
