id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
126,P7841,2025-06-03 00:00:00,25.81,112.33,163.0,永州市,程家,新田县,21.56,90.0,987.1,20.4,41.4949,train
127,P8440,2025-06-03 00:00:00,25.81,113.04,184.0,郴州市,苏仙岭,苏仙区,21.77,92.0,985.8,20.2,50.1289,train
128,P8411,2025-06-03 00:00:00,25.82,112.75,215.4,郴州市,樟市,桂阳县,21.77,92.0,983.1,20.2,36.5133,train
129,P8439,2025-06-03 00:00:00,25.82,113.1,202.0,郴州市,香山坪,苏仙区,23.51,100.0,985.7,20.1,55.1027,train
131,P8435,2025-06-03 00:00:00,25.84,113.17,185.0,郴州市,望仙,苏仙区,22.94,100.0,988.0,19.7,50.2498,train
132,P7862,2025-06-03 00:00:00,25.86,112.21,200.0,永州市,五柳塘,新田县,22.16,96.0,984.2,19.8,44.6287,train
133,P7730,2025-06-03 00:00:00,25.87,111.72,610.0,永州市,上梧江,双牌县,19.61,100.0,939.7,17.2,58.7107,train
134,P8527,2025-06-03 00:00:00,25.89,113.38,353.9,郴州市,白廊,资兴市,19.83,87.0,969.1,19.6,46.7052,train
135,57971,2025-06-03 00:00:00,25.91,112.21,227.4,永州市,新田,新田县,23.91,98.0,982.7,20.7,51.1,train
136,P8246,2025-06-03 00:00:00,25.91,113.13,118.0,郴州市,飞天山,苏仙区,22.76,91.0,993.0,21.1,54.0802,train
137,P8540,2025-06-03 00:00:00,25.92,113.7,786.3,郴州市,青山,桂东县,20.73,86.0,920.6,20.5,37.6542,train
138,P7725,2025-06-03 00:00:00,25.93,111.73,157.7,永州市,塘底,双牌县,23.08,100.0,988.9,19.8,51.8289,train
139,P8545,2025-06-03 00:00:00,25.93,113.87,850.0,郴州市,大塘,桂东县,22.51,100.0,913.0,19.4,42.8302,train
141,P8317,2025-06-03 00:00:00,25.94,112.62,245.0,郴州市,湘山,桂阳县,21.37,92.0,979.9,19.9,39.428,train
142,P8551,2025-06-03 00:00:00,25.94,113.95,774.6,郴州市,新坊,桂东县,21.8,91.0,922.1,20.4,36.6642,train
143,57962,2025-06-03 00:00:00,25.96,111.65,206.7,永州市,双牌,双牌县,23.37,100.0,984.8,20.0,50.9,train
144,P7745,2025-06-03 00:00:00,25.96,111.87,377.0,永州市,黄江源,双牌县,20.86,95.0,964.3,19.0,40.8014,train
145,P8413,2025-06-03 00:00:00,25.97,112.81,259.5,郴州市,洋市,桂阳县,23.51,100.0,978.1,20.1,49.3823,train
146,P8392,2025-06-03 00:00:00,25.97,113.05,161.0,郴州市,五里牌,苏仙区,21.91,86.0,989.6,21.4,56.9948,train
147,57981,2025-06-03 00:00:00,25.97,113.22,142.2,郴州市,资兴,资兴市,23.22,94.0,992.0,20.9,54.2,train
148,P8493,2025-06-03 00:00:00,25.97,113.45,311.0,郴州市,天鹅山,资兴市,23.23,100.0,971.5,19.9,54.8745,train
149,P7724,2025-06-03 00:00:00,25.98,111.86,365.0,永州市,麻江,双牌县,21.16,94.0,966.8,19.4,40.2922,train
151,P8681,2025-06-03 00:00:00,26.0,113.59,352.7,郴州市,团桥,资兴市,21.66,95.0,968.1,19.6,32.5761,train
152,P3918,2025-06-03 00:00:00,26.01,109.77,512.0,怀化市,陇城,通道侗族自治县,18.68,90.0,951.3,18.1,39.6916,train
153,P8265,2025-06-03 00:00:00,26.02,112.86,207.0,郴州市,文明,永兴县,21.36,87.0,985.1,20.8,39.4231,train
